Please enter a length to convert, in the form <number> <input-unit> <output-unit>.
Enter any letter to quit.
> 29.492100 mm = 0.032253 yd
> 85.107400 ft = 2594.073552 cm
> 74.453700 mi = 11982161.537280 cm
> 56.079100 yd = 0.031863 mi
> 49.682600 km = 4968260.000000 cm
> 12.084900 m = 13.216207 yd
> 3.100500 in = 78.752700 mm
> 17.916800 km = 19594.050744 yd
> 0.592000 mm = 0.001942 ft
> 18.930000 mm = 0.018930 m
> 96.789500 ft = 96.789500 ft
> 30.267300 km = 30.267300 km
> 23.297100 km = 14.476147 mi
> 42.657400 mm = 0.000027 mi
> 85.852000 m = 0.085852 km
> 68.670600 ft = 2093.079888 cm
> 80.364900 km = 87888.123360 yd
> 11.816400 km = 1181640.000000 cm
> 7.962000 mi = 12813596.928000 mm
> 32.055600 m = 3205.560000 cm
> 78.295800 mm = 0.000078 km
> 42.767300 mi = 42.767300 mi
> 26.168800 ft = 7.976250 m
> 43.637000 mm = 0.047722 yd
> 16.290200 yd = 16.290200 yd
> 8.474700 mi = 536956.992000 in
> 62.347400 cm = 24.546220 in
> 44.573900 yd = 133.721700 ft
> 27.044600 in = 68.693284 cm
> 57.824700 in = 57.824700 in
> 86.718700 yd = 86.718700 yd
> 33.535700 m = 0.033536 km
> 25.161700 m = 2516.170000 cm
> 13.708400 mi = 13.708400 mi
> 54.043500 km = 59102.690289 yd
> 55.288600 ft = 0.016852 km
> 28.775000 ft = 877.062000 cm
> 27.902200 m = 0.017338 mi
> 27.124000 in = 0.688950 m
> 91.430600 m = 99.989720 yd
> 70.065300 in = 5.838775 ft
> 20.932000 m = 2093.200000 cm
> 78.225700 cm = 78.225700 cm
> 56.393400 m = 5639.340000 cm
> 60.275200 cm = 602.752000 mm
> 85.009700 yd = 3060.349200 in
> 9.057600 cm = 0.297165 ft
> 51.861500 mm = 2.041791 in
> 24.807700 yd = 74.423100 ft
> 78.189000 ft = 78.189000 ft
> Allowable units: mm cm m km in ft yd mi.
> 
